日期,天气状况,气温,风力风向
2012年10月16日,晴/多云,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年10月17日,多云/多云,28℃/18℃,北风3-4级/北风3-4级
2012年10月18日,晴/多云,28℃/18℃,无持续风向≤3级/北风3-4级
2012年10月19日,晴/晴,28℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年10月20日,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年10月21日,晴/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年10月22日,晴/多云,29℃/19℃,无持续风向≤3级/北风3-4级
2012年10月23日,多云/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年10月24日,多云/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年10月25日,晴/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年10月26日,晴/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年10月27日,多云/阴,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年10月28日,多云/多云,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年10月29日,多云/多云,28℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年10月30日,大雨/阴,21℃/16℃,北风3-4级/北风3-4级
2012年10月31日,阴/晴,22℃/13℃,北风3-4级/北风3-4级
2012年11月01日,晴/晴,24℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年11月02日,晴/晴,25℃/14℃,无持续风向≤3级/无持续风向≤3级
2012年11月03日,多云/阴,26℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年11月04日,晴/晴,24℃/15℃,无持续风向≤3级/东北风3-4级
2012年11月05日,多云/多云,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年11月06日,多云/晴,26℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年11月07日,多云/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年11月08日,多云/多云,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年11月09日,多云/多云,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年11月10日,小到中雨/小雨,26℃/16℃,无持续风向≤3级/北风3-4级
2012年11月11日,小雨/多云,22℃/15℃,北风3-4级/北风3-4级
2012年11月12日,多云/多云,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年11月13日,多云/晴,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年11月14日,晴/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年11月15日,多云/多云,27℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年11月16日,中到大雨/中到大雨,25℃/15℃,无持续风向≤3级/北风3-4级
2012年11月17日,阴/多云,20℃/14℃,北风3-4级/无持续风向≤3级
2012年11月18日,多云/多云,22℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年11月19日,多云/多云,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年11月20日,多云/小雨,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年11月21日,小雨/小雨,24℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年11月22日,小雨/小雨,25℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年11月23日,小到中雨/多云,20℃/13℃,北风3-4级/无持续风向≤3级
2012年11月24日,小雨/阴,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年11月25日,小雨/中雨,21℃/13℃,无持续风向≤3级/北风3-4级
2012年11月26日,中雨/小雨,18℃/12℃,北风3-4级/无持续风向≤3级
2012年11月27日,小到中雨/小雨,14℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年11月28日,中雨/暴雨,16℃/13℃,无持续风向≤3级/无持续风向≤3级
2012年11月29日,小雨/小雨,17℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年11月30日,小雨/小雨,20℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年12月01日,小到中雨/小到中雨,19℃/13℃,无持续风向≤3级/北风3-4级
2012年12月02日,小雨/多云,15℃/11℃,北风3-4级/无持续风向≤3级
2012年12月03日,小雨/阴,16℃/11℃,北风3-4级/无持续风向≤3级
2012年12月04日,小雨/小雨,16℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年12月05日,小雨/多云,16℃/9℃,北风3-4级/无持续风向≤3级
2012年12月06日,多云/多云,18℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年12月07日,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年12月08日,多云/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年12月09日,多云/多云,21℃/13℃,无持续风向≤3级/无持续风向≤3级
2012年12月10日,多云/多云,21℃/12℃,无持续风向≤3级/北风3-4级
2012年12月11日,多云/多云,19℃/11℃,北风3-4级/无持续风向≤3级
2012年12月12日,阴/多云,18℃/13℃,北风3-4级/无持续风向≤3级
2012年12月13日,多云/多云,21℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年12月14日,多云/多云,24℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年12月15日,多云/多云,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年12月16日,多云/多云,26℃/17℃,无持续风向微风/北风3-4级
2012年12月17日,小雨/小雨,25℃/12℃,北风3-4级/北风3-4级
2012年12月18日,小雨/多云,14℃/7℃,北风3-4级/东北风3-4级
2012年12月19日,多云/小雨,16℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年12月20日,阴/阴,18℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年12月21日,阴/小雨,21℃/10℃,无持续风向≤3级/北风4-5级
2012年12月22日,阴/阴,13℃/8℃,北风4-5级/北风4-5级
2012年12月23日,多云/晴,12℃/4℃,北风4-5级/北风3-4级
2012年12月24日,晴/多云,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2012年12月25日,多云/多云,18℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年12月26日,阴/小雨,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2012年12月27日,小到中雨/小雨,17℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年12月28日,阴/多云,19℃/8℃,无持续风向≤3级/无持续风向≤3级
2012年12月29日,小雨/阴,19℃/5℃,北风4-5级/北风4-5级
2012年12月30日,多云/晴,12℃/3℃,北风3-4级/北风3-4级
2012年12月31日,晴/晴,13℃/5℃,北风3-4级/无持续风向≤3级
